# Supplementary Table 3. Transcription units (TU) defined by SEnd-seq. TUs were defined based on E. coli genome NC_000913.3 and the TSS and TTS detected in this work. The genes covered by each TU are listed.,,,,,
start,stop,strand,length,genes_number,genes_names
1733706,1734161,-,456,1,grxD
1733706,1734189,-,484,1,grxD
1733706,1734260,-,555,1,grxD
1734380,1735287,+,908,1,mepH
1733706,1734746,-,1041,1,grxD
1735324,1736114,+,791,1,sodB
1736082,1736879,-,798,1,ydhP
1736082,1737336,-,1255,1,ydhP
1737422,1737583,-,162,1,ynhF
1736082,1737583,-,1502,2,ynhF:ydhP
1737687,1738907,+,1221,1,purR
1736082,1739827,-,3746,3,ydhP:ydhB:ynhF
1737422,1739827,-,2406,2,ydhB:ynhF
1739879,1742598,+,2720,2,cfa:ydhC
1736082,1739897,-,3816,3,ydhB:ynhF:ydhP
1737422,1739897,-,2476,2,ynhF:ydhB
1741200,1742598,+,1399,1,cfa
1742567,1743275,-,709,1,ribC
1736082,1743275,-,7194,4,ydhP:ydhB:ribC:ynhF
1737422,1743275,-,5854,3,ynhF:ydhB:ribC
1743375,1744868,+,1494,1,mdtK
1742567,1743456,-,890,1,ribC
1736082,1743456,-,7375,4,ydhP:ydhB:ribC:ynhF
1737422,1743456,-,6035,3,ynhF:ribC:ydhB
1743994,1744868,+,875,1,mdtK
1744834,1746164,-,1331,1,ydhQ
1744834,1746202,-,1369,1,ydhQ
1744834,1746251,-,1418,1,ydhQ
1746416,1747039,+,624,3,valW:valV:ydhR
1746672,1747039,+,368,1,ydhR
1754894,1755165,-,272,1,ydhZ
1755304,1757164,+,1861,1,pykF
1755468,1757164,+,1697,1,pykF
1755599,1757164,+,1566,1,pykF
1757382,1757703,+,322,1,lpp
1757671,1758864,-,1194,1,ldtE
1757671,1764418,-,6748,7,sufB:ldtE:sufC:sufS:sufE:sufA:sufD
1765143,1765844,-,702,2,ydiJ:menI
1765143,1765933,-,791,2,ydiJ:menI
1765143,1766046,-,904,2,menI:ydiJ
1765143,1768914,-,3772,2,ydiJ:menI
1768976,1770218,+,1243,1,ydiK
1768976,1770477,+,1502,2,rprA:ydiK
1769011,1770218,+,1208,1,ydiK
1769011,1770477,+,1467,2,rprA:ydiK
1770371,1770477,+,107,1,rprA
1774570,1775484,+,915,2,ydiB:aroD
1778349,1779342,-,994,1,ydiP
1784696,1787161,-,2466,1,ppsA
1787414,1789514,+,2101,2,aroH:ppsR
1788320,1789514,+,1195,1,aroH
1788383,1789514,+,1132,1,aroH
1789482,1791254,-,1773,1,ydiU
1792222,1792760,-,539,1,nlpC
1792222,1794143,-,1922,3,btuD:btuE:nlpC
1792222,1795177,-,2956,4,btuE:nlpC:btuC:btuD
1792222,1795720,-,3499,6,nlpC:ihfA:btuE:btuD:pheT:btuC
1795214,1795720,-,507,2,pheT:ihfA
1795214,1795919,-,706,2,pheT:ihfA
1795214,1796090,-,877,2,pheT:ihfA
1795214,1799000,-,3787,3,ihfA:pheT:pheS
1799357,1800819,-,1463,4,rpmI:thrS:infC:rplT
1799357,1801346,-,1990,4,thrS:infC:rplT:rpmI
1799357,1802732,-,3376,4,rpmI:thrS:infC:rplT
1799357,1802805,-,3449,4,rpmI:thrS:infC:rplT
1805287,1806170,-,884,1,ydiY
1806271,1807330,+,1060,1,pfkB
1806351,1807330,+,980,1,pfkB
1807374,1808696,+,1323,2,ydiZ:yniA
1808668,1809262,-,595,1,yniB
1809278,1810084,+,807,1,yniC
1809322,1810084,+,763,1,yniC
1808668,1809350,-,683,1,yniB
1810881,1812373,+,1493,1,ydjN
1811673,1812373,+,701,1,ydjN
1813385,1813701,-,317,1,cedA
1813813,1816378,+,2566,1,katE
1821228,1821726,-,499,1,chbB
1821861,1822283,-,423,1,osmE
1821228,1822283,-,1056,2,chbB:osmE
1822427,1823351,+,925,1,nadE
1822427,1824452,+,2026,2,cho:nadE
1823491,1824452,+,962,1,cho
1825060,1825686,-,627,1,spy
1825060,1825737,-,678,1,spy
1832234,1833274,+,1041,1,xthA
1832285,1833274,+,990,1,xthA
1832357,1833274,+,918,1,xthA
1832398,1833274,+,877,1,xthA
1839439,1840816,+,1378,1,ynjE
1842306,1843813,+,1508,1,gdhA
1844921,1848030,-,3110,2,selD:topB
1844921,1848701,-,3781,3,selD:ydjA:topB
1848791,1850733,+,1943,1,sppA
1850199,1850733,+,535,1,sppA
1850701,1850830,-,130,0,none
1850834,1852573,+,1740,2,pncA:ansA
1850701,1851072,-,372,0,none
1851662,1852573,+,912,2,pncA:ansA
1854008,1854887,-,880,1,ydjF
1861660,1862464,-,805,2,msrB:yeaC
1861660,1862476,-,817,2,msrB:yeaC
1862525,1863817,+,1293,1,gapA
1862525,1864785,+,2261,2,gapA:yeaD
1862596,1863817,+,1222,1,gapA
1862596,1864785,+,2190,2,yeaD:gapA
1862616,1863817,+,1202,1,gapA
1862616,1864785,+,2170,2,gapA:yeaD
1862734,1863817,+,1084,1,gapA
1862734,1864785,+,2052,2,gapA:yeaD
1864739,1866505,-,1767,2,yeaE:mipA
1865668,1866505,-,838,1,mipA
1864739,1866646,-,1908,2,mipA:yeaE
1865668,1866646,-,979,1,mipA
1866746,1870276,+,3531,2,yeaG:yeaH
1871970,1874112,+,2143,2,yeaK:yeaJ
1873109,1874112,+,1004,2,yeaJ:yeaK
1873216,1874112,+,897,2,yeaK:yeaJ
1873543,1874112,+,570,1,yeaK
1873543,1874843,+,1301,2,yeaK:yeaL
1874322,1874843,+,522,1,yeaL
1875649,1877301,+,1653,2,yeaO:yeaN
1876050,1877301,+,1252,2,yeaN:yeaO
1876801,1877301,+,501,2,yeaN:yeaO
1876876,1877301,+,426,1,yeaO
1877139,1877555,-,417,1,yoaF
1877139,1877612,-,474,1,yoaF
1877667,1878996,+,1330,3,yeaP:yoaJ:yoaK
1878964,1879297,-,334,1,yeaQ
1878964,1879994,-,1031,3,yoaG:yeaQ:yeaR
1879361,1879994,-,634,2,yoaG:yeaR
1880089,1880799,-,711,1,leuE
1880089,1881849,-,1761,2,leuE:dmlR
1881876,1883042,+,1167,1,dmlA
1886516,1886861,+,346,1,yeaX
1886809,1888064,-,1256,2,fadD:rnd
1886809,1888601,-,1793,2,fadD:rnd
1889900,1890560,-,661,1,yeaY
1889900,1891295,-,1396,2,tsaB:yeaY
1893232,1893787,+,556,1,yoaB
1889900,1893255,-,3356,3,yoaA:tsaB:yeaY
1893280,1893787,+,508,1,yoaB
1893335,1893787,+,453,1,yoaB
1893335,1894497,+,1163,2,yoaC:yoaB
1894016,1894497,+,482,1,yoaC
1894098,1894497,+,400,1,yoaC
1894456,1894753,-,298,1,yoaH
1894756,1898334,+,3579,3,sdaA:nudL:pabB
1894456,1895249,-,794,1,yoaH
1894456,1895651,-,1196,1,yoaH
1896142,1898334,+,2193,3,sdaA:nudL:pabB
1896762,1898334,+,1573,1,sdaA
1896808,1898334,+,1527,1,sdaA
1896882,1898334,+,1453,1,sdaA
1899953,1901772,-,1820,1,yoaE
1899953,1901833,-,1881,1,yoaE
1901934,1904784,+,2851,3,manZ:manX:manY
1901934,1905324,+,3391,4,manY:manX:manZ:yobD
1906214,1907083,-,870,1,rlmA
1906214,1907617,-,1404,3,cspC:yobF:rlmA
1907152,1907617,-,466,2,yobF:cspC
1906214,1907636,-,1423,3,rlmA:yobF:cspC
1907152,1907636,-,485,2,cspC:yobF
1907152,1907793,-,642,2,yobF:cspC
1906214,1907793,-,1580,3,rlmA:cspC:yobF
1908211,1908792,-,582,2,yebO:mgrB
1906214,1908792,-,2579,5,mgrB:cspC:yobF:rlmA:yebO
1907152,1908792,-,1641,4,mgrB:cspC:yobF:yebO
1908900,1909303,+,404,1,yobH
1909261,1910138,-,878,1,kdgR
1911647,1912618,-,972,1,htpX
1911647,1912638,-,992,1,htpX
1912732,1913082,-,351,1,prc
1912732,1913904,-,1173,1,prc
1912732,1914122,-,1391,1,prc
1911647,1915582,-,3936,3,htpX:prc:proQ
1912732,1915582,-,2851,2,prc:proQ
1912732,1916166,-,3435,3,proQ:prc:msrC
1920194,1922050,+,1857,2,rsmF:yebV
1921726,1922050,+,325,1,yebV
1923291,1925000,-,1710,3,yebY:yebZ:yobA
1923291,1925307,-,2017,3,yebY:yebZ:yobA
1928997,1929734,-,738,1,yebE
1929917,1930415,-,499,1,yebF
1929971,1930415,-,445,1,yebF
1929917,1930776,-,860,2,yebF:yebG
1929971,1930776,-,806,2,yebG:yebF
1930856,1932111,+,1256,1,purT
1932079,1933106,-,1028,2,eda:edd
1932079,1933140,-,1062,2,edd:eda
1934728,1936374,-,1647,1,zwf
1934728,1936509,-,1782,1,zwf
1936589,1939222,+,2634,2,pykA:yebK
1937493,1939222,+,1730,2,yebK:pykA
1939094,1940228,-,1135,1,lpxM
1940266,1940733,-,468,1,mepM
1939094,1942026,-,2933,3,znuA:lpxM:mepM
1940266,1942026,-,1761,2,znuA:mepM
1940266,1942081,-,1816,2,znuA:mepM
1939094,1942081,-,2988,3,mepM:lpxM:znuA
1940266,1942614,-,2349,2,znuA:mepM
1946817,1947623,-,807,2,ruvC:yebC
1946817,1948061,-,1245,2,ruvC:yebC
1946817,1950616,-,3800,4,aspS:yebC:ruvC:nudB
1946817,1950702,-,3886,4,aspS:yebC:ruvC:nudB
1952235,1954573,+,2339,3,cmoB:cmoA:yecN
1958441,1958747,-,307,1,cutC
1958441,1959871,-,1431,2,cutC:yecM
1958441,1959982,-,1542,2,yecM:cutC
1960002,1961848,+,1847,1,argS
1960478,1961848,+,1371,1,argS
1966348,1967408,-,1061,2,cheZ:cheY
1982486,1983382,-,897,1,araH
1982486,1986239,-,3754,3,araG:araF:araH
1986796,1987508,+,713,1,ftnB
1987428,1987784,-,357,1,yecJ
1987428,1988001,-,574,2,azuC:yecJ
1988681,1989247,+,567,1,ftnA
1989216,1989501,-,286,1,yecH
1989642,1990949,+,1308,1,tyrP
1990346,1990949,+,604,1,tyrP
1990910,1991648,-,739,1,yecA
1990910,1991700,-,791,1,yecA
1991747,1992183,-,437,3,leuZ:cysT:glyW
1990910,1992183,-,1274,4,yecA:cysT:leuZ:glyW
1991747,1992850,-,1104,4,pgsA:leuZ:cysT:glyW
1995767,1996082,+,316,1,yecF
1997018,1999508,-,2491,3,yecS:yecC:dcyD
1997018,2000468,-,3451,4,yecS:fliY:yecC:dcyD
1999539,2000468,-,930,1,fliY
1997018,2001819,-,4802,6,dcyD:yecC:fliY:yecS:fliZ:fliA
1999539,2001819,-,2281,3,fliY:fliA:fliZ
2001911,2002559,-,649,1,fliC
2001911,2002570,-,660,1,fliC
2001911,2002922,-,1012,1,fliC
2001911,2003001,-,1091,1,fliC
2001911,2003069,-,1159,1,fliC
2001911,2003675,-,1765,1,fliC
2003813,2007674,+,3862,4,amyA:fliD:fliS:fliT
2006130,2007674,+,1545,1,amyA
2007260,2007674,+,415,1,amyA
2007644,2008114,-,471,1,yedD
2008206,2009747,+,1542,2,yedF:yedE
2008238,2009747,+,1510,2,yedF:yedE
2023835,2024626,+,792,1,rcsA
2024594,2024843,-,250,1,dsrB
2024926,2025257,+,332,1,yodD
2024594,2025310,-,717,2,dsrB:dsrA
2028141,2028396,-,256,1,yodC
2028141,2029389,-,1249,2,yedI:yodC
2028141,2029458,-,1318,2,yedI:yodC
2032320,2033099,-,780,1,yedJ
2032320,2033449,-,1130,2,yedJ:yedR
2035630,2036758,+,1129,1,hchA
2035779,2036758,+,980,1,hchA
2041343,2042152,+,810,1,zinT
2042345,2043181,+,837,1,yodB
2042814,2043181,+,368,1,yodB
2043414,2044746,+,1333,2,asnT:mtfA
2043603,2044746,+,1144,2,asnT:mtfA
2044537,2044746,+,210,1,asnT
2049183,2052064,+,2882,1,yeeJ
2050918,2052064,+,1147,1,yeeJ
2053565,2054994,+,1430,1,shiA
2053565,2056606,+,3042,2,amn:shiA
2055031,2056606,+,1576,1,amn
2055031,2057617,+,2587,2,amn:yeeN
2056797,2057617,+,821,1,yeeN
2057927,2058113,-,187,1,asnW
2057927,2059688,-,1762,2,asnW:yeeO
2057927,2060939,-,3013,3,cbl:yeeO:asnW
2062338,2063353,-,1016,1,ldtA
2078028,2078319,+,292,0,none
2078988,2079468,-,481,1,yeeX
2078988,2079509,-,522,1,yeeX
2078988,2079673,-,686,2,yeeX:yeeA
2078988,2079828,-,841,2,yeeA:yeeX
2078988,2080718,-,1731,2,yeeA:yeeX
2078988,2081286,-,2299,3,sbmC:yeeA:yeeX
2078988,2081326,-,2339,3,sbmC:yeeA:yeeX
2081333,2081965,-,633,1,dacD
2081333,2082574,-,1242,1,dacD
2082731,2084218,+,1488,1,sbcB
2084185,2084625,-,441,2,yeeD:yeeE
2084185,2085087,-,903,2,yeeE:yeeD
2084185,2085552,-,1368,2,yeeE:yeeD
2085648,2087262,-,1615,2,plaP:yoeI
2088155,2089152,-,998,2,yeeZ:yeeY
2088155,2089731,-,1577,4,yoeB:yeeZ:yeeY:yefM
2089964,2093092,+,3129,4,hisD:hisL:hisG:hisC
2090137,2097303,+,7167,8,hisD:hisA:hisI:hisB:hisC:hisG:hisF:hisH
2090137,2093092,+,2956,3,hisD:hisG:hisC
2091479,2093092,+,1614,2,hisD:hisC
2093363,2097303,+,3941,6,hisA:hisF:hisH:hisB:hisC:hisI
2097269,2098331,-,1063,1,wzzB
2099805,2101324,-,1520,1,gnd
2099805,2101341,-,1537,1,gnd
2099805,2102938,-,3134,2,insH1:gnd
2099805,2102949,-,3145,2,insH1:gnd
2113335,2114351,-,1017,1,wcaN
2113346,2114351,-,1006,1,wcaN
2113335,2114416,-,1082,1,wcaN
2113346,2114416,-,1071,1,wcaN
2113335,2114459,-,1125,1,wcaN
2113346,2114459,-,1114,1,wcaN
2113335,2114543,-,1209,2,wcaN:wcaM
2113346,2114543,-,1198,2,wcaM:wcaN
2113335,2115071,-,1737,2,wcaN:wcaM
2113346,2115071,-,1726,2,wcaN:wcaM
2137862,2139739,+,1878,1,yegH
2152450,2152776,-,327,2,yegK:yegL
2152450,2153157,-,708,2,yegK:yegL
2153310,2153453,+,144,1,sibA
2153310,2153781,+,472,2,sibA:sibB
2153645,2153781,+,137,1,sibB
2164195,2165055,+,861,2,baeS:baeR
2164245,2165055,+,811,2,baeS:baeR
2165131,2165611,+,481,1,yegP
2165165,2165611,+,447,1,yegP
2165592,2167199,+,1608,2,cyaR:yegQ
2165592,2167293,+,1702,2,yegQ:cyaR
2166940,2167199,+,260,2,yegQ:cyaR
2167113,2167199,+,87,1,cyaR
2167113,2167293,+,181,1,cyaR
2167264,2167548,-,285,1,ogrK
2167264,2168345,-,1082,2,yegR:ogrK
2168684,2169684,+,1001,1,yegS
2171800,2172672,-,873,1,gatD
2171800,2177233,-,5434,5,gatA:gatY:gatD:gatZ:gatB
2172887,2177233,-,4347,4,gatZ:gatY:gatA:gatB
2177322,2178631,-,1310,1,fbaB
2186861,2187327,+,467,1,rcnB
2186912,2187327,+,416,1,rcnB
2186929,2187327,+,399,1,rcnB
2191618,2192274,-,657,2,yehC:yehD
2192445,2192843,-,399,1,yehE
2192993,2194199,-,1207,1,mrp
2192445,2194199,-,1755,2,mrp:yehE
2194268,2196370,+,2103,1,metG
2192993,2194275,-,1283,1,mrp
2211175,2211727,+,553,1,yehR
2211687,2212225,-,539,1,yehS
2211687,2213360,-,1674,3,yehU:yehS:yehT
2211687,2214671,-,2985,3,yehU:yehS:yehT
2219619,2222041,-,2423,1,bglX
2222153,2223987,+,1835,1,dld
2223898,2224941,-,1044,1,pbpG
2224993,2225665,-,673,1,yohC
2230602,2232769,+,2168,3,yohJ:yohK:cdd
2231192,2232769,+,1578,2,yohK:cdd
2231252,2232769,+,1518,2,cdd:yohK
2231816,2232769,+,954,1,cdd
2233973,2236663,+,2691,2,preT:preA
2236327,2236663,+,337,1,preA
2239313,2240566,-,1254,1,mglB
2243780,2244773,+,994,1,yeiG
2243880,2244773,+,894,1,yeiG
2247015,2247509,-,495,1,lysP
2247015,2248560,-,1546,1,lysP
2247015,2248638,-,1624,1,lysP
2247015,2249642,-,2628,2,yeiE:lysP
2249699,2250838,+,1140,1,yeiH
2249978,2250838,+,861,1,yeiH
2250806,2251933,+,1128,2,yeiI:nfo
2250806,2252833,+,2028,2,yeiI:nfo
2252710,2253299,-,590,1,nupX
2259535,2260442,-,908,1,fruA
2259671,2260442,-,772,1,fruA
2259535,2261862,-,2328,2,fruK:fruA
2259671,2261862,-,2192,2,fruK:fruA
2259671,2262440,-,2770,3,fruB:fruA:fruK
2259535,2263593,-,4059,3,fruA:fruK:fruB
2259671,2263593,-,3923,3,fruB:fruA:fruK
2263838,2265279,+,1442,1,setB
2264822,2266069,+,1248,2,setB:yeiP
2264822,2265279,+,458,1,setB
2265414,2266069,+,656,1,yeiP
2266213,2267759,+,1547,1,yeiQ
2267795,2269627,+,1833,2,yeiR:lpxT
2268825,2269627,+,803,1,lpxT
2269810,2270618,+,809,1,mepS
2269919,2270618,+,700,1,mepS
2277859,2278397,-,539,1,yejG
2277859,2278467,-,609,1,yejG
2277859,2278497,-,639,1,yejG
2278524,2280544,-,2021,2,bcr:rsuA
2280607,2282846,+,2240,2,rplY:yejH
2282409,2282846,+,438,1,rplY
2282440,2282846,+,407,1,rplY
2283962,2286330,+,2369,3,yejM:proL:yejL
2282816,2283968,-,1153,1,yejK
2282816,2284012,-,1197,1,yejK
2284102,2286330,+,2229,3,yejM:proL:yejL
2282816,2284370,-,1555,1,yejK
2285414,2286330,+,917,2,proL:yejM
2285592,2286330,+,739,2,proL:yejM
2286204,2286330,+,127,1,proL
2282816,2286836,-,4021,1,yejK
2286296,2286836,-,541,0,none
2286296,2287008,-,713,0,none
2286296,2288318,-,2023,0,none
2282816,2288318,-,5503,1,yejK
2282816,2288870,-,6055,1,yejK
2286296,2288870,-,2575,0,none
2282816,2290072,-,7257,2,yejK:insH1
2286296,2290072,-,3777,1,insH1
2282816,2290108,-,7293,2,yejK:insH1
2286296,2290108,-,3813,1,insH1
2290349,2291356,+,1008,1,narP
2290363,2291356,+,994,1,narP
2290369,2291356,+,988,1,narP
2290421,2291356,+,936,1,narP
2290434,2291356,+,923,1,narP
2306927,2308640,-,1714,1,yojI
2306927,2308668,-,1742,1,yojI
2311604,2312828,-,1225,1,ompC
2311604,2312848,-,1245,1,ompC
2311604,2312864,-,1261,1,ompC
2313083,2313176,+,94,1,micF
2311604,2313260,-,1657,1,ompC
2313452,2316985,+,3534,2,rcsB:rcsD
2315698,2316985,+,1288,2,rcsB:rcsD
2315974,2316985,+,1012,2,rcsD:rcsB
2316832,2317601,-,770,1,rcsC
2316832,2319911,-,3080,1,rcsC
2316832,2320129,-,3298,1,rcsC
2336713,2339458,-,2746,1,gyrA
2340304,2341242,-,939,1,yfaL
2340304,2341277,-,974,1,yfaL
2340304,2342910,-,2607,1,yfaL
2344757,2348821,+,4065,3,nrdB:nrdA:yfaE
2347063,2348821,+,1759,3,nrdA:nrdB:yfaE
2348769,2349499,-,731,1,inaA
2348769,2349523,-,755,1,inaA
2349897,2351355,-,1459,2,glpT:glpQ
2349897,2352451,-,2555,2,glpQ:glpT
2349897,2352495,-,2599,2,glpT:glpQ
2352582,2356756,+,4175,3,glpA:glpC:glpB
2357551,2358039,+,489,2,yfaD:ypaA
2362391,2363655,-,1265,1,yfaY
2362391,2364316,-,1926,2,yfaY:yfaZ
2363698,2364316,-,619,1,yfaZ
2362391,2364334,-,1944,2,yfaY:yfaZ
2363698,2364334,-,637,1,yfaZ
2363698,2364371,-,674,1,yfaZ
2364525,2365011,+,487,1,nudI
2373096,2373565,-,470,1,pmrD
2374889,2376810,-,1922,3,menE:menC:menB
2374889,2376973,-,2085,4,menH:menE:menB:menC
2374889,2377001,-,2113,4,menH:menB:menC:menE
2380673,2381053,-,381,1,elaB
2380673,2381565,-,893,2,elaA:elaB
2385254,2385576,+,323,0,none
2385403,2385576,+,174,0,none
2386908,2387538,+,631,1,yfbM
2389998,2391060,-,1063,1,nuoN
2389998,2392236,-,2239,2,nuoN:nuoM
2405622,2405827,-,206,1,lrhA
2405622,2406799,-,1178,1,lrhA
2405622,2406820,-,1199,1,lrhA
2405622,2407012,-,1391,1,lrhA
2407508,2408815,+,1308,1,alaA
2407508,2409520,+,2013,2,yfbR:alaA
2408835,2409520,+,686,1,yfbR
2409345,2409779,-,435,1,yfbS
2409345,2411148,-,1804,1,yfbS
2411395,2412645,-,1251,2,yfbT:yfbU
2409345,2412645,-,3301,3,yfbT:yfbS:yfbU
2413246,2414703,+,1458,1,ackA
2413246,2416960,+,3715,2,pta:ackA
2411395,2413290,-,1896,3,yfbT:yfbU:yfbV
2412625,2413290,-,666,1,yfbV
2413343,2414703,+,1361,1,ackA
2413343,2416960,+,3618,2,pta:ackA
2413425,2414703,+,1279,1,ackA
2413425,2416960,+,3536,2,pta:ackA
2412625,2413682,-,1058,1,yfbV
2412625,2413736,-,1112,1,yfbV
2412625,2413793,-,1169,1,yfbV
2417051,2418634,+,1584,1,yfcC
2418070,2418634,+,565,1,yfcC
2418605,2419808,-,1204,2,yfcE:yfcD
2418605,2420513,-,1909,3,yfcF:yfcD:yfcE
2418605,2420573,-,1969,3,yfcD:yfcF:yfcE
2420591,2421854,+,1264,3,folX:yfcG:yfcH
2421298,2421854,+,557,2,yfcH:folX
2421298,2422775,+,1478,2,folX:yfcH
2421618,2422775,+,1158,2,folX:yfcH
2422577,2422890,-,314,1,yfcI
2423701,2426837,-,3137,4,hisQ:hisJ:hisM:hisP
2425953,2426837,-,885,1,hisJ
2425953,2427879,-,1927,2,argT:hisJ
2425953,2427937,-,1985,2,hisJ:argT
2428023,2428650,-,628,1,ubiX
2428684,2430618,-,1935,2,purF:cvpA
2428023,2430799,-,2777,3,ubiX:purF:cvpA
2428684,2430799,-,2116,2,cvpA:purF
2428684,2431873,-,3190,4,purF:cvpA:folC:dedD
2430843,2431873,-,1031,2,folC:dedD
2430860,2431873,-,1014,2,dedD:folC
2428684,2431937,-,3254,4,purF:cvpA:folC:dedD
2430843,2431937,-,1095,2,folC:dedD
2430860,2431937,-,1078,2,folC:dedD
2430843,2432018,-,1176,2,folC:dedD
2430860,2432018,-,1159,2,folC:dedD
2430860,2433972,-,3113,3,folC:dedD:accD
2432883,2433972,-,1090,2,folC:accD
2432972,2433972,-,1001,1,accD
2428684,2434014,-,5331,5,dedD:folC:accD:cvpA:purF
2430843,2434014,-,3172,3,accD:folC:dedD
2430860,2434014,-,3155,3,folC:dedD:accD
2432972,2434014,-,1043,1,accD
2432883,2434014,-,1132,2,accD:folC
2430860,2434192,-,3333,4,folC:dedD:dedA:accD
2432883,2434192,-,1310,3,folC:dedA:accD
2432972,2434192,-,1221,2,dedA:accD
2430860,2434273,-,3414,4,dedD:folC:dedA:accD
2432883,2434273,-,1391,3,folC:accD:dedA
2432972,2434273,-,1302,2,dedA:accD
2430860,2435324,-,4465,5,truA:dedA:accD:folC:dedD
2432972,2435324,-,2353,3,accD:dedA:truA
2432883,2435324,-,2442,4,folC:accD:dedA:truA
2437871,2439119,+,1249,1,flk
2430860,2437883,-,7024,7,folC:dedD:usg:pdxB:truA:dedA:accD
2432972,2437883,-,4912,5,accD:dedA:truA:pdxB:usg
2436669,2437883,-,1215,1,pdxB
2432883,2437883,-,5001,6,accD:truA:dedA:folC:pdxB:usg
2437908,2439119,+,1212,1,flk
2432972,2437932,-,4961,5,dedA:truA:accD:usg:pdxB
2436669,2437932,-,1264,1,pdxB
2436669,2437944,-,1276,1,pdxB
2440280,2441641,-,1362,1,fabB
2441738,2443873,+,2136,1,mnmC
2443783,2444258,-,476,2,epmC:yfcL
2443783,2444610,-,828,2,epmC:yfcL
2443783,2445344,-,1562,3,yfcA:yfcL:epmC
2443783,2447628,-,3846,6,mepA:prmB:epmC:yfcL:aroC:yfcA
2448220,2449217,+,998,1,smrB
2443783,2448472,-,4690,6,yfcL:aroC:yfcA:epmC:mepA:prmB
2448581,2449217,+,637,1,smrB
2449128,2449716,-,589,1,yfcO
2449185,2449716,-,532,1,yfcO
2449185,2450047,-,863,1,yfcO
2449128,2450047,-,920,1,yfcO
2456278,2456916,-,639,1,sixA
2456278,2457000,-,723,1,sixA
2456278,2457375,-,1098,2,fadJ:sixA
2456278,2457512,-,1235,2,fadJ:sixA
2456278,2460510,-,4233,3,fadJ:fadI:sixA
2460600,2460979,-,380,1,yfcZ
2460600,2461145,-,546,1,yfcZ
2461204,2462694,+,1491,1,fadL
2461249,2462694,+,1446,1,fadL
2464209,2465084,-,876,1,mlaA
2464209,2465135,-,927,1,mlaA
2464209,2465215,-,1007,1,mlaA
2465272,2466310,+,1039,2,argW:yfdC
2470466,2470666,-,201,0,none
2470466,2470691,-,226,0,none
2470710,2471163,+,454,0,none
2470747,2471163,+,417,0,none
2476184,2476597,+,414,2,torI:pawZ
2476375,2476597,+,223,2,pawZ:torI
2477820,2480583,+,2764,2,dsdX:dsdA
2496773,2497038,+,266,1,ypdK
2497009,2498356,-,1348,1,alaC
2508420,2509462,-,1043,1,glk
2508420,2509932,-,1513,1,glk
2508420,2510067,-,1648,1,glk
2510960,2511445,+,486,1,ypeC
2510971,2511445,+,475,1,ypeC
2511263,2512853,-,1591,1,mntH
2511263,2512892,-,1630,1,mntH
2515035,2515446,-,412,0,none
2515035,2515496,-,462,0,none
2515035,2515846,-,812,1,yfeA
2515035,2517867,-,2833,1,yfeA
2518395,2519242,+,848,2,yfeC:yfeD
2518406,2519242,+,837,2,yfeD:yfeC
2518421,2519242,+,822,2,yfeC:yfeD
2519206,2520730,-,1525,1,gltX
2519206,2520755,-,1550,1,gltX
2519206,2520775,-,1570,1,gltX
2519206,2520783,-,1578,1,gltX
2520921,2521362,+,442,4,valY:valX:lysV:valU
2521485,2521868,-,384,1,xapR
2521485,2522222,-,738,1,xapR
2521485,2522505,-,1021,1,xapR
2525548,2525923,+,376,1,yfeN
2525594,2525923,+,330,1,yfeN
2525893,2526882,-,990,1,yfeR
2526925,2527989,+,1065,1,yfeH
2530192,2531280,-,1089,1,zipA
2530192,2531334,-,1143,1,zipA
2531423,2532288,+,866,1,cysZ
2531423,2533430,+,2008,2,cysK:cysZ
2531423,2534344,+,2922,4,cysZ:ptsI:ptsH:cysK
2531423,2536388,+,4966,5,cysZ:crr:ptsI:ptsH:cysK
2530192,2531552,-,1361,1,zipA
2532342,2533430,+,1089,1,cysK
2532342,2534344,+,2003,3,ptsI:cysK:ptsH
2532342,2536388,+,4047,4,ptsI:crr:ptsH:cysK
2532376,2533430,+,1055,1,cysK
2532376,2534344,+,1969,3,ptsI:cysK:ptsH
2532376,2536388,+,4013,4,crr:ptsI:ptsH:cysK
2533499,2534344,+,846,2,ptsH:ptsI
2533499,2536388,+,2890,3,ptsH:ptsI:crr
2533600,2534344,+,745,2,ptsH:ptsI
2533600,2536388,+,2789,3,ptsI:crr:ptsH
2533732,2534344,+,613,2,ptsI:ptsH
2533732,2536388,+,2657,3,ptsH:crr:ptsI
2535437,2536388,+,952,2,ptsI:crr
2535482,2536388,+,907,2,ptsI:crr
2535609,2536388,+,780,2,crr:ptsI
2536355,2537288,-,934,1,pdxK
2536355,2537319,-,965,1,pdxK
2538529,2539704,-,1176,1,cysM
2539662,2543558,-,3897,4,cysU:cysA:cysW:cysP
2543679,2544664,-,986,1,ucpA
2543679,2545601,-,1923,2,ucpA:murR
2543679,2545675,-,1997,2,murR:ucpA
2545732,2549628,+,3897,3,murP:murQ:yfeW
2549334,2549628,+,295,1,yfeW
2555186,2557294,-,2109,3,eutL:eutK:eutC
2558776,2560191,+,1416,1,intZ
2555186,2558810,-,3625,4,eutC:eutK:eutB:eutL
2560295,2560930,+,636,1,yffL
2563815,2564427,+,613,2,yffQ:yffR
2564005,2564427,+,423,1,yffR
2564495,2565387,+,893,1,yffS
